Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4
2579;0.70841309006847;-0.5838171022762599;-0.028241818733315;-0.0005783026239592
2580;0.82267297458234;-0.73647856502869;0.21380319812555;0.044710016864812
2581;1.1812374924068;-0.912156832999352;-0.17049710509922;-0.026154890197891
2582;0.79625120099611;-1.007093564677823;-0.0041780659439103;-0.048539977064102
2583;0.68606729996364;-1.0026113587961392;0.049977079902368;-0.0024720458919611
2584;0.6947934609115;-0.9953092514065186;0.05118754707856;0.0033842056738231
2585;0.92769894008559;-1.02681361407215;0.15692839733803;0.058812305120088
2586;1.4130507340237;-1.057928471824082;0.32650885813046;0.13793801169062
2587;2.1756773334575;-1.10337483792217;-0.10193807637879;-0.10362501506417
2588;2.2027454182485;-1.078863106146706;0.087148790294318;-0.13094470209467
2589;2.1565257776676;-0.977012119265303;-0.31445960162095;0.14150009675066
2590;1.2074838053023;-0.76241468606898;0.005289342092015;-0.21295814256527
2638;1.322070852382;-0.80204238037366;0.20854614775682;-0.29008500265223
2639;1.4591507956115;-0.913889465551781;0.28961963994223;-0.32617764496843
2640;2.658426799365;-0.76602039490838;-0.16431464094652;-0.32107252266083
2641;3.5531207350488;-0.67016575225177;-0.0002549451614505;0.021038032173074
